id,label,tweet,example
9406,0,that comes to me in quantities from sources on a basis,"label: 'Not Hateful', tweet: that comes to me in quantities from sources on a basis"
17494,0,make custom soundtrack for your video with 4 music with relaxed acoustic feel,"label: 'Not Hateful', tweet: make custom soundtrack for your video with 4 music with relaxed acoustic feel"
18873,0,today's the day! wales v england,"label: 'Not Hateful', tweet: today's the day! wales v england"
30068,0,7 stories that made us happy this week: 7 stories that made us happy this week. 0shares. reprint. subs...,"label: 'Not Hateful', tweet: 7 stories that made us happy this week: 7 stories that made us happy this week. 0shares. reprint. subs..."
13689,0,to in with,"label: 'Not Hateful', tweet: to in with"
22708,0,first day of school!,"label: 'Not Hateful', tweet: first day of school!"
2649,0,good day today!!,"label: 'Not Hateful', tweet: good day today!!"
28082,0,growing our veggies!,"label: 'Not Hateful', tweet: growing our veggies!"
4153,0,most brilliant balanced speech by pm to us congress covering all facets of indo-us relations global issues,"label: 'Not Hateful', tweet: most brilliant balanced speech by pm to us congress covering all facets of indo-us relations global issues"
12383,0,whatever u need to tell yourself to justify killing....,"label: 'Not Hateful', tweet: whatever u need to tell yourself to justify killing...."
15336,1,anyone has a right 2 question foreign parentage. mccain was questioned and accused by democrats.,"label: 'Hateful', tweet: anyone has a right 2 question foreign parentage. mccain was questioned and accused by democrats."
26947,1,racism is now front and center in trumpworld. these kkk folk are now out in the open.,"label: 'Hateful', tweet: racism is now front and center in trumpworld. these kkk folk are now out in the open."
22452,1,well there's a surprise.... wonder how much that bit of research cost..,"label: 'Hateful', tweet: well there's a surprise.... wonder how much that bit of research cost.."
14817,1,"joseon people in japan, will abuse the for claims of own rights by rough demo.","label: 'Hateful', tweet: joseon people in japan, will abuse the for claims of own rights by rough demo."
28865,1,is this your relation? yeah... that's a right... i see you all as the same,"label: 'Hateful', tweet: is this your relation? yeah... that's a right... i see you all as the same"
31866,1,see what is doing in destroying masjids,"label: 'Hateful', tweet: see what is doing in destroying masjids"
1318,1,this. unsatisfied with his has moved into nuclear terror in a new,"label: 'Hateful', tweet: this. unsatisfied with his has moved into nuclear terror in a new"
28899,1,"in 2017, let's all realize that u don't have 2 wear a white hood tattoo 2 b r sa","label: 'Hateful', tweet: in 2017, let's all realize that u don't have 2 wear a white hood tattoo 2 b r sa"
193,1,you might be a libtard if...,"label: 'Hateful', tweet: you might be a libtard if..."
9609,1,greenspans policies are now largely blamed for the mogage crisis.,"label: 'Hateful', tweet: greenspans policies are now largely blamed for the mogage crisis."
